DTN_node,Message_ID,Message_generated_time,Message_received_time,Delay
p5,Message transfered from p5 to c41,1651701375963,1651701726609,1029478
w104,Message transfered from w104 to w110,1651701359062,1651701529231,623953
c54,Message transfered from c54 to p3,1651701375963,1651701449587,662616
c54,Message transfered from c54 to c48,1651701322663,1651701442826,494795
c47,Message transfered from c47 to w115,1651701387193,1651701449587,651386
c68,Message transfered from c68 to t125,1651701387193,1651701317326,50029
p22,Message transfered from p22 to c72,1651701349168,1651701449587,689411
p20,Message transfered from p20 to p4,1651701359062,1651701726609,1046379
t123,Message transfered from t123 to c50,1651701387193,1651701721613,893452
p37,Message transfered from p37 to p14,1651701387193,1651701442826,430265
c69,Message transfered from c69 to p28,1651701349168,1651701449587,689411
w99,Message transfered from w99 to p35,1651701349168,1651701449587,689411
w118,Message transfered from w118 to c46,1651701359062,1651701317326,78160
p4,Message transfered from p4 to p17,1651701322663,1651701317326,114559
c52,Message transfered from c52 to p28,1651701375963,1651701726609,1029478
w100,Message transfered from w100 to p33,1651701375963,1651701317326,61259
w113,Message transfered from w113 to c43,1651701322663,1651701529231,660352
c44,Message transfered from c44 to p37,1651701317326,1651701721613,963319
c42,Message transfered from c42 to w118,1651701359062,1651701726609,1046379
w81,Message transfered from w81 to p21,1651701349168,1651701529231,633847
p3,Message transfered from p3 to t120,1651701375963,1651701726609,1029478
p25,Message transfered from p25 to p38,1651701349168,1651701726609,1056273
p13,Message transfered from p13 to w83,1651701387193,1651701317326,50029
w80,Message transfered from w80 to w103,1651701349168,1651701442826,468290
c77,Message transfered from c77 to w99,1651701349168,1651701726609,1056273
w115,Message transfered from w115 to p11,1651701387193,1651701442826,430265
w100,Message transfered from w100 to p1,1651701375963,1651701442826,441495
w104,Message transfered from w104 to p32,1651701375963,1651701726609,1029478
w83,Message transfered from w83 to w87,1651701375963,1651701317326,61259
c57,Message transfered from c57 to p39,1651701322663,1651701444607,284536
t120,Message transfered from t120 to p37,1651701349168,1651701449587,689411
c74,Message transfered from c74 to c55,1651701359062,1651701444607,248137
p22,Message transfered from p22 to p24,1651701359062,1651701529231,623953
c75,Message transfered from c75 to w114,1651701372218,1651701726609,1033223
c68,Message transfered from c68 to c66,1651701349168,1651701317326,88054
c41,Message transfered from c41 to w116,1651701322663,1651701449587,715916
c59,Message transfered from c59 to c60,1651701359062,1651701442826,458396
c48,Message transfered from c48 to c45,1651701322663,1651701442826,494795
p20,Message transfered from p20 to p21,1651701387193,1651701529231,595822
c48,Message transfered from c48 to p8,1651701387193,1651701444607,220006
c46,Message transfered from c46 to p15,1651701322663,1651701442826,494795
c50,Message transfered from c50 to c54,1651701359062,1651701726609,1046379
p32,Message transfered from p32 to c74,1651701359062,1651701442826,458396
c45,Message transfered from c45 to p5,1651701359062,1651701529231,623953
c63,Message transfered from c63 to c45,1651701317326,1651701449587,721253
c40,Message transfered from c40 to p25,1651701322663,1651701529231,660352
t123,Message transfered from t123 to w81,1651701359062,1651701442826,458396
w92,Message transfered from w92 to w80,1651701359062,1651701444607,248137
c51,Message transfered from c51 to c75,1651701372218,1651701442826,445240
p11,Message transfered from p11 to c77,1651701349168,1651701442826,468290
p21,Message transfered from p21 to c69,1651701349168,1651701444607,258031
c75,Message transfered from c75 to w82,1651701349168,1651701442826,468290
t123,Message transfered from t123 to p18,1651701317326,1651701721613,963319
w98,Message transfered from w98 to p22,1651701372218,1651701726609,1033223
w85,Message transfered from w85 to p33,1651701349168,1651701449587,689411
